desc,acc,br,ca,sub,n1,len
Local Subscriptions,2202300001,2,22,220,2202,10
Foreign Subscriptions,2202300002,2,22,220,2202,10
Consumption of fixed capital [GFS],23,2,23,23,23,2
Fixed Assets,2301,2,23,230,2301,4
Buildings and structures,23011,2,23,230,2301,5
Dwellings,230111,2,23,230,2301,6
Depreciation - Residential Buildings,2301110001,2,23,230,2301,10
Depreciation - Caravans,2301110002,2,23,230,2301,10
Depreciation - Houseboats,2301110003,2,23,230,2301,10
Depreciation - Mobile Homes,2301110004,2,23,230,2301,10
Impairment of fixed assets - Residential Buildings,2301110005,2,23,230,2301,10
Impairment of fixed assets - Caravans,2301110006,2,23,230,2301,10
Impairment of fixed assets - Houseboats,2301110007,2,23,230,2301,10
Impairment of fixed assets - Mobile Homes,2301110008,2,23,230,2301,10
Buildings other than dwellings,230112,2,23,230,2301,6
Depreciation - Commercial Buildings,2301120001,2,23,230,2301,10
Depreciation - Industrial Buildings,2301120002,2,23,230,2301,10
Depreciation - Institutional Buildings,2301120003,2,23,230,2301,10
Impairment of fixed assets -  Commercial Buildings,2301120004,2,23,230,2301,10
Impairment of fixed assets - Industrial Buildings,2301120005,2,23,230,2301,10
Impairment of fixed assets -  Institutional Buildings,2301120006,2,23,230,2301,10
Other structures,230113,2,23,230,2301,6
"Depreciation - Airport, Runways & Helipads",2301130001,2,23,230,2301,10
Depreciation - Roads,2301130002,2,23,230,2301,10
Depreciation - Bridges,2301130003,2,23,230,2301,10
Depreciation - Civil Works,2301130004,2,23,230,2301,10
Depreciation - Dams,2301130005,2,23,230,2301,10
Depreciation - Water Works,2301130006,2,23,230,2301,10
Depreciation - Boreholes,2301130007,2,23,230,2301,10
Depreciation - Dip Tanks & Live Stock Management Facilities,2301130008,2,23,230,2301,10
Depreciation - Irrigation Schemes,2301130009,2,23,230,2301,10
Depreciation - Monuments,2301130010,2,23,230,2301,10
Depreciation - Railway,2301130011,2,23,230,2301,10
"Impairment of fixed assets - Airport, Runways & Helipads",2301130012,2,23,230,2301,10
Impairment of fixed assets - Roads,2301130013,2,23,230,2301,10
Impairment of fixed assets - Bridges,2301130014,2,23,230,2301,10
Impairment of fixed assets - Civil Works,2301130015,2,23,230,2301,10
Impairment of fixed assets - Dams,2301130016,2,23,230,2301,10
Impairment of fixed assets - Water Works,2301130017,2,23,230,2301,10
Impairment of fixed assets - Boreholes,2301130018,2,23,230,2301,10
Impairment of fixed assets - Dip Tanks & Live Stock Management Facilities,2301130019,2,23,230,2301,10
Impairment of fixed assets - Irrigation Schemes,2301130020,2,23,230,2301,10
Impairment of fixed assets - Monuments,2301130021,2,23,230,2301,10
Impairment of fixed assets - Railway,2301130022,2,23,230,2301,10
Machinery and equipment,23012,2,23,230,2301,5
Transport equipment,230121,2,23,230,2301,6
Depreciation - Boats & Water Craft,2301210002,2,23,230,2301,10
Depreciation - Motor Cycles & Bicycles,2301210003,2,23,230,2301,10
Depreciation - Motor Vehicles,2301210004,2,23,230,2301,10
Depreciation -Tractors and Earthmoving Equipment,2301210005,2,23,230,2301,10
Impairment of fixed assets - Boats & Water Craft,2301210007,2,23,230,2301,10
Impairment of fixed assets - Motor Cycles & Bicycles,2301210008,2,23,230,2301,10
Impairment of fixed assets - Motor Vehicles,2301210009,2,23,230,2301,10
Impairment of fixed assets - Tractors and Earthmoving Equipment,2301210010,2,23,230,2301,10
Other machinery and equipment,230122,2,23,230,2301,6
"Information, Computer & Telecommunication (ICT) Equipment",2301221,2,23,230,2301,7
"Information, Computer & Telecommunication (ICT) Equipment",2301221001,2,23,230,2301,10
Machinery & Equipment not elsewhere classified,2301222,2,23,230,2301,7
Generators,2301222001,2,23,230,2301,10
Machinery & Equipment not elsewhere classified -,2301222002,2,23,230,2301,10
Survey Equipment,2301222003,2,23,230,2301,10
Funeral Equipment,2301222004,2,23,230,2301,10
Photographic/Media Equipment,2301222005,2,23,230,2301,10
Sports Equipment,2301222006,2,23,230,2301,10
Teaching and Training Equipment,2301222007,2,23,230,2301,10
Navigational and Telecommunications Equipment,2301222008,2,23,230,2301,10
Camping equipment,2301222009,2,23,230,2301,10
Kitchen and Culinary Equipment,2301222010,2,23,230,2301,10
Office Equipment,2301222011,2,23,230,2301,10
Furniture and Fittings,2301222012,2,23,230,2301,10
Laboratory Equipment,2301222013,2,23,230,2301,10
Hospital Equipment,2301222014,2,23,230,2301,10
Scales and Measures,2301222015,2,23,230,2301,10
Fire Fighting Equipment,2301222016,2,23,230,2301,10
Other fixed assets,23013,2,23,230,2301,5
Cultivated biological resources,230131,2,23,230,2301,6
Impairment of fixed assets - Animal Resources Yielding Repeat Products,2301310001,2,23,230,2301,10
"Impairment of fixed assets - Tree, Crop & Plant Resources Yielding Repeat Products",2301310002,2,23,230,2301,10
Intellectual property products,230132,2,23,230,2301,6
Impairment of fixed assets - Research & Development,2301320001,2,23,230,2301,10
Impairment of fixed assets - Mineral Exploration & Evaluation,2301320002,2,23,230,2301,10
computer software,2301320003,2,23,230,2301,10
Data bases,2301320004,2,23,230,2301,10
"Entertainment, Literary & Artistic Originals",2301320005,2,23,230,2301,10
Other Intellectual & Property Products,2301320006,2,23,230,2301,10
Impairment of fixed assets - Computer Software & Databases,2301320007,2,23,230,2301,10
"Impairment of fixed assets - Entertainment, Literary & Artistic Originals",2301320008,2,23,230,2301,10
Impairment of fixed assets - Other Intellectual & Property Products,2301320009,2,23,230,2301,10
Costs of ownership transfer on Non-Produced Assets other than land,230133,2,23,230,2301,6
Costs of ownership,2301330001,2,23,230,2301,10
Impairment of fixed assets - Cost of ownership,2301330002,2,23,230,2301,10
Weapons systems,23014,2,23,230,2301,5
Weapons systems,2301400001,2,23,230,2301,10
Impairment of fixed assets - Weapon systems,2301400002,2,23,230,2301,10
Interest ,24,2,24,24,24,2
Interest To nonresidents,241,2,24,241,241,3
Interest on Currency and deposits,2410000002,2,24,241,2410,10
Interest on Debt securities,2410000003,2,24,241,2410,10
Interest on Concessional loans -foreign,2411000001,2,24,241,2411,10
Interest on  Non-Concessional-loans-foreign,2411000002,2,24,241,2411,10
Interest on Financial derivatives,2411000003,2,24,241,2411,10
Interest on Trade credit and advances Foreign,2411000004,2,24,241,2411,10
Interest on Other accounts payable -Foreign,2411000005,2,24,241,2411,10
Interest To residents other than general government,242,2,24,242,242,3
Interest: To Private nonfinancial corporation,2421,2,24,242,2421,4
Interest on TBs General GVT- BANKS (Treasury Bills),2421000002,2,24,242,2421,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2421000003,2,24,242,2421,10
Interest on Treasury bonds General GVT- BANKS,2421000004,2,24,242,2421,10
Interest on Treasury Bonds General GVT- Non-Banks,2421000005,2,24,242,2421,10
Interest on Financial derivatives (Loans),2421000006,2,24,242,2421,10
Interest on Trade credit and advances,2421000007,2,24,242,2421,10
Interest on Other accounts payable,2421000008,2,24,242,2421,10
Interest: To Private financial corporation,2422,2,24,242,2422,4
Interest on Currency and deposits,2422000001,2,24,242,2422,10
Interest on TBs General GVT- BANKS (Treasury Bills),2422000002,2,24,242,2422,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2422000003,2,24,242,2422,10
Interest on Treasury bonds General GVT- BANKS,2422000004,2,24,242,2422,10
Interest on Treasury Bonds General GVT- Non-Banks,2422000005,2,24,242,2422,10
Interest on Financial derivatives (Loans),2422000006,2,24,242,2422,10
Interest on Trade credit and advances,2422000007,2,24,242,2422,10
Interest on Other accounts payable,2422000008,2,24,242,2422,10
Interest: To Public nonfinancial corporation,2423,2,24,242,2423,4
Interest on Currency and deposits,2423000001,2,24,242,2423,10
Interest on TBs General GVT- BANKS (Treasury Bills),2423000002,2,24,242,2423,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2423000003,2,24,242,2423,10
Interest on Treasury bonds General GVT- BANKS,2423000004,2,24,242,2423,10
Interest on Treasury Bonds General GVT- Non-Banks,2423000005,2,24,242,2423,10
Interest on Financial derivatives (Loans),2423000006,2,24,242,2423,10
Interest on Trade credit and advances,2423000007,2,24,242,2423,10
Interest on Other accounts payable,2423000008,2,24,242,2423,10
Interest: To Public financial corporation,2424,2,24,242,2424,4
Interest on Currency and deposits,2424000001,2,24,242,2424,10
Interest on TBs General GVT- BANKS (Treasury Bills),2424000002,2,24,242,2424,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2424000003,2,24,242,2424,10
Interest on Treasury bonds General GVT- BANKS,2424000004,2,24,242,2424,10
Interest on Treasury Bonds General GVT- Non-Banks,2424000005,2,24,242,2424,10
Interest on Financial derivatives (Loans),2424000006,2,24,242,2424,10
Interest on Trade credit and advances,2424000007,2,24,242,2424,10
Interest on Other accounts payable,2424000008,2,24,242,2424,10
Interest: To Households,2425,2,24,242,2425,4
Interest: To Nonprofit institutions serving households,2426,2,24,242,2426,4
Interest on Currency and deposits,2426000001,2,24,242,2426,10
Interest on TBs General GVT- BANKS (Treasury Bills),2426000002,2,24,242,2426,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2426000003,2,24,242,2426,10
Interest on Treasury bonds General GVT- BANKS,2426000004,2,24,242,2426,10
Interest on Treasury Bonds General GVT- Non-Banks,2426000005,2,24,242,2426,10
Interest on Financial derivatives (Loans),2426000006,2,24,242,2426,10
Interest on Trade credit and advances,2426000007,2,24,242,2426,10
Interest on Other accounts payable,2426000008,2,24,242,2426,10
Interest to other general government units,243,2,24,243,243,3
Interest: To Budgetary central government,2431,2,24,243,2431,4
Interest on Currency and deposits,2431000001,2,24,243,2431,10
Interest on TBs General GVT- BANKS (Treasury Bills),2431000002,2,24,243,2431,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2431000003,2,24,243,2431,10
Interest on Treasury bonds General GVT- BANKS,2431000004,2,24,243,2431,10
Interest on Treasury Bonds General GVT- Non-Banks,2431000005,2,24,243,2431,10
Interest on Financial derivatives (Loans),2431000006,2,24,243,2431,10
Interest on Trade credit and advances,2431000007,2,24,243,2431,10
Interest on Other accounts payable,2431000008,2,24,243,2431,10
Interest: To Extrabudgetary entities,2432,2,24,243,2432,4
Interest on Currency and deposits,2432000001,2,24,243,2432,10
Interest on TBs General GVT- BANKS (Treasury Bills),2432000002,2,24,243,2432,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2432000003,2,24,243,2432,10
Interest on Treasury bonds General GVT- BANKS,2432000004,2,24,243,2432,10
Interest on Treasury Bonds General GVT- Non-Banks,2432000005,2,24,243,2432,10
Interest on Financial derivatives (Loans),2432000006,2,24,243,2432,10
Interest on Trade credit and advances,2432000007,2,24,243,2432,10
Interest on Other accounts payable,2432000008,2,24,243,2432,10
Interest: To Local government,2433,2,24,243,2433,4
Interest: To Regional government,2434,2,24,243,2434,4
Interest on Trade credit and advances,2434000007,2,24,243,2434,10
Interest on Other accounts payable,2434000008,2,24,243,2434,10
Interest: To Social security funds,2435,2,24,243,2435,4
Interest on Currency and deposits,2435000001,2,24,243,2435,10
Interest on TBs General GVT- BANKS (Treasury Bills),2435000002,2,24,243,2435,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2435000003,2,24,243,2435,10
Interest on Treasury bonds General GVT- BANKS,2435000004,2,24,243,2435,10
Interest on Treasury Bonds General GVT- Non-Banks,2435000005,2,24,243,2435,10
Interest on Financial derivatives (Loans),2435000006,2,24,243,2435,10
Interest on Trade credit and advances,2435000007,2,24,243,2435,10
Interest on Other accounts payable,2435000008,2,24,243,2435,10
Interest: To other general government units n.e.c,2436,2,24,243,2436,4
Interest on Currency and deposits,2436000001,2,24,243,2436,10
Interest on TBs General GVT- BANKS (Treasury Bills),2436000002,2,24,243,2436,10
Interest on TBs General GVT- Non-Banks (Treasury Bills),2436000003,2,24,243,2436,10
Interest on Treasury bonds General GVT- BANKS,2436000004,2,24,243,2436,10
Interest on Treasury Bonds General GVT- Non-Banks,2436000005,2,24,243,2436,10
Interest on Financial derivatives (Loans),2436000006,2,24,243,2436,10
Interest on Trade credit and advances,2436000007,2,24,243,2436,10
Interest on Other accounts payable,2436000008,2,24,243,2436,10
Subsidies,25,2,25,25,25,2
To public corporations,251,2,25,251,251,3
To nonfinancial public corporations (NFPubC),2511,2,25,251,2511,4
Products,25111,2,25,251,2511,5
Production,25112,2,25,251,2511,5
To financial public corporations (FPubC),2512,2,25,251,2512,4
Products,25121,2,25,251,2512,5
Production,25122,2,25,251,2512,5
To private corporation,252,2,25,252,252,3
To nonfinancial private enterprises (NPvtC),2521,2,25,252,2521,4
Products,25211,2,25,252,2521,5
Production,25212,2,25,252,2521,5
To financial private enterprises (FpvtC),2522,2,25,252,2522,4
Products,25221,2,25,252,2522,5
Production,25222,2,25,252,2522,5
Subsidies unallocable between products and productions,25223,2,25,252,2522,5
To nonfinancial private enterprises (NPvtC),252231,2,25,252,2522,6
To financial private enterprises (FpvtC),252232,2,25,252,2522,6
To other sectors,253,2,25,253,253,3
Products,2531,2,25,253,2531,4
Production,2532,2,25,253,2532,4
Subsidies to other sectors and unallobale to products or production,2533,2,25,253,2533,4
Grants,26,2,26,26,26,2
Grants To foreign governments (GrntFGvt),261,2,26,261,261,3
Current,2611,2,26,261,2611,4
Compensation of Employees - Grant,2611000001,2,26,261,2611,10
Use of goods and services - Grant,2611000002,2,26,261,2611,10
Social Benefits - Grant,2611000003,2,26,261,2611,10
Other Expenses - Grant,2611000004,2,26,261,2611,10
Capital,2612,2,26,261,2612,4
Dwellings - Grant,2612000001,2,26,261,2612,10
Nonresidential buildings - Grant,2612000002,2,26,261,2612,10
Other Structures - Grant,2612000003,2,26,261,2612,10
Transport Equipment - Grant,2612000004,2,26,261,2612,10
Other Machinery and Equipment - Grant,2612000005,2,26,261,2612,10
Grants To international organizations,262,2,26,262,262,3
Current,2621,2,26,262,2621,4
Compensation of Employees - Foreign Grant,2621000001,2,26,262,2621,10
Use of goods and services - Foreign Grant,2621000002,2,26,262,2621,10
Social Benefits - Foreign Grant,2621000003,2,26,262,2621,10
Other Expenses - Foreign Grant,2621000004,2,26,262,2621,10
Capital,2622,2,26,262,2622,4
Dwellings - Foreign Grant,2622000001,2,26,262,2622,10
Nonresidential buildings - Foreign Grant,2622000002,2,26,262,2622,10
Other Structures - Foreign Grant,2622000003,2,26,262,2622,10
Transport Equipment - Foreign Grant,2622000004,2,26,262,2622,10
Other Machinery and Equipment - Foreign Grant,2622000005,2,26,262,2622,10
Grants To other general government units,263,2,26,263,263,3
Current Grants To General government units,2631,2,26,263,2631,4
Current Grants: To Budgetary central government,26311,2,26,263,2631,5
Use of goods and services,2631100002,2,26,263,2631,10
Social Benefits,2631100003,2,26,263,2631,10
Other Expenses,2631100004,2,26,263,2631,10
Current Grants: To Extrabudgetary entities,26312,2,26,263,2631,5
Use of goods and services,2631200002,2,26,263,2631,10
Social Benefits,2631200003,2,26,263,2631,10
Other Expenses,2631200004,2,26,263,2631,10
Current Grants: To Local government,26313,2,26,263,2631,5
Use of goods and services - Local Grant,2631300002,2,26,263,2631,10
Social Benefits - Local Grant,2631300003,2,26,263,2631,10
Other Expenses - Local Grant,2631300004,2,26,263,2631,10
Current Grants: To Regional government,26314,2,26,263,2631,5
Use of goods and services,2631400002,2,26,263,2631,10
Social Benefits,2631400003,2,26,263,2631,10
Other Expenses,2631400004,2,26,263,2631,10
Current Grants: To Social security funds,26315,2,26,263,2631,5
Use of goods and services,2631500002,2,26,263,2631,10
Social Benefits,2631500003,2,26,263,2631,10
Other Expenses,2631500004,2,26,263,2631,10
Current Grants: To General Government units n.e.c,26316,2,26,263,2631,5
Use of goods and services,2631600002,2,26,263,2631,10
Social Benefits,2631600003,2,26,263,2631,10
Other Expenses,2631600004,2,26,263,2631,10
Capital Grants To General government units,2632,2,26,263,2632,4
Capital Grants: To Budgetary central government,26321,2,26,263,2632,5
Dwellings,2632100001,2,26,263,2632,10
Non-residential buildings,2632100002,2,26,263,2632,10
Other Structures,2632100003,2,26,263,2632,10
Transport Equipment,2632100004,2,26,263,2632,10
Other Machinery and Equipment,2632100005,2,26,263,2632,10
Capital Grants: To Extrabudgetary entities,26322,2,26,263,2632,5
Dwellings,2632200001,2,26,263,2632,10
Non-residential buildings,2632200002,2,26,263,2632,10
Other Structures,2632200003,2,26,263,2632,10
Transport Equipment,2632200004,2,26,263,2632,10
Other Machinery and Equipment,2632200005,2,26,263,2632,10
Capital Grants: To Local government,26323,2,26,263,2632,5
Dwellings - Local Grant,2632300001,2,26,263,2632,10
Non-residential buildings - Local Grant,2632300002,2,26,263,2632,10
Other Structures - Local Grant,2632300003,2,26,263,2632,10
Transport Equipment - Local Grant,2632300004,2,26,263,2632,10
Other Machinery and Equipment - Local Grant,2632300005,2,26,263,2632,10
Capital Grants: To Regional government,26324,2,26,263,2632,5
Dwellings,2632400001,2,26,263,2632,10
Non-residential buildings,2632400002,2,26,263,2632,10
Other Structures,2632400003,2,26,263,2632,10
Transport Equipment,2632400004,2,26,263,2632,10
Other Machinery and Equipment,2632400005,2,26,263,2632,10
Capital Grants: To Social security funds,26325,2,26,263,2632,5
Dwellings,2632500001,2,26,263,2632,10
Non-residential buildings,2632500002,2,26,263,2632,10
Other Structures,2632500003,2,26,263,2632,10
Transport Equipment,2632500004,2,26,263,2632,10
Other Machinery and Equipment,2632500005,2,26,263,2632,10
Capital Grants: To General government units n.e.c,26326,2,26,263,2632,5
Dwellings,2632600001,2,26,263,2632,10
Non-residential buildings,2632600002,2,26,263,2632,10
Other Structures,2632600003,2,26,263,2632,10
Transport Equipment,2632600004,2,26,263,2632,10
Other Machinery and Equipment,2632600005,2,26,263,2632,10
Social benefits [GFS],27,2,27,27,27,2
Social security benefits,271,2,27,271,271,3
Social security benefits in cash,2711,2,27,271,2711,4
Awards under pensions,2711000001,2,27,271,2711,10
Commutation of pension,2711000002,2,27,271,2711,10
Funeral expenses,2711000003,2,27,271,2711,10
Medical examination and expenses,2711000004,2,27,271,2711,10
Refunds of contributions,2711000005,2,27,271,2711,10
State service disability benefits,2711000006,2,27,271,2711,10
State service -pension and allowances,2711000007,2,27,271,2711,10
War pensions,2711000008,2,27,271,2711,10
War veterans pension,2711000009,2,27,271,2711,10
Old age pension,2711000010,2,27,271,2711,10
War victims pensions,2711000011,2,27,271,2711,10
State service-gratuities,2711000014,2,27,271,2711,10
State services-supplimentary and additional benefits,2711000015,2,27,271,2711,10
State service disability benefits-appliance,2711000016,2,27,271,2711,10
Employee Wellness-Sports,2711000017,2,27,271,2711,10
Social security benefits in kind,2712,2,27,271,2712,4
Employee Wellness-Sports,2712000001,2,27,271,2712,10
Social assistance benefits,272,2,27,272,272,3
Social assistance benefits in cash,2721,2,27,272,2721,4
Children in difficult circumstances,2721000002,2,27,272,2721,10
Public assistance - Disabled,2721000003,2,27,272,2721,10
Health assistance,2721000005,2,27,272,2721,10
Public assistance - Aged,2721000007,2,27,272,2721,10
Supplementary feeding,2721000008,2,27,272,2721,10
Heroes Burial,2721000009,2,27,272,2721,10
Pauper burial,2721000010,2,27,272,2721,10
Public assistance - Families,2721000011,2,27,272,2721,10
Community Recovery Programme,2721000013,2,27,272,2721,10
Sustainable livelihood,2721000014,2,27,272,2721,10
Social assistance benefits in kind [GFS],2722,2,27,272,2722,4
Social assistance benefits in kind,2722000001,2,27,272,2722,10
Employer social benefits,273,2,27,273,273,3
Employer social benefits in cash,2731,2,27,273,2731,4
Family benefits,2731000001,2,27,273,2731,10
All leave pay,2731000002,2,27,273,2731,10
Severance payments,2731000003,2,27,273,2731,10
Pension payments,2731000004,2,27,273,2731,10
Employer social benefits in kind,2732,2,27,273,2732,4
Employer social benefits in kind,2732000001,2,27,273,2732,10
Other expense,28,2,28,28,28,2
Property expense other than interest,281,2,28,281,281,3
Dividends,2811,2,28,281,2811,4
Dividends to nonresidents,28111,2,28,281,2811,5
Dividends to residents,28112,2,28,281,2811,5
Withdrawals from income of quasi-corporations (Public Corporations only),2812,2,28,281,2812,4
Income withdrawal of quasi-corporations,2812000001,2,28,281,2812,10
Property expense attributed to insurance policyholders [GFS],2813,2,28,281,2813,4
Government Insurance Scheme,2813000001,2,28,281,2813,10
Rent,2814,2,28,281,2814,4
Rent Payable,2814000001,2,28,281,2814,10
Reinvested earnings on foreign direct investment,2815,2,28,281,2815,4
Transfers paid not classified elsewhere,282,2,28,282,282,3
Current Transfers paid n.e.c,2821,2,28,282,2821,4
Current transfers paid n.e.c: To Public corporations,282101,2,28,282,2821,6
Debt service,2822010004,2,28,282,2822,10
Capital transfers paid n.e.c: To Private corporations,282202,2,28,282,2822,6
NON-FINANCIAL ASSETS, , , , , ,1
Fixed assets : Stock position,611,6,61,611,611,3
Buildings and structures,6111,6,61,611,6111,4
Dwellings,61111,6,61,611,6111,5
Residential Buildings,6111100001,6,61,611,6111,10
Caravans,6111100002,6,61,611,6111,10
Houseboats,6111100003,6,61,611,6111,10
Mobile Homes,6111100004,6,61,611,6111,10
Buildings other than dwellings,61112,6,61,611,6111,5
Commercial Buildings,6111200001,6,61,611,6111,10
Industrial Buildings,6111200002,6,61,611,6111,10
Institutional Buildings,6111200003,6,61,611,6111,10
Buildings,6111200004,6,61,611,6111,10
Other structures,61113,6,61,611,6111,5
"Airport, Runways & Helipads",6111300001,6,61,611,6111,10
Roads,6111300002,6,61,611,6111,10
Bridges,6111300003,6,61,611,6111,10
Civil Works,6111300004,6,61,611,6111,10
Dams,6111300005,6,61,611,6111,10
Water Works,6111300006,6,61,611,6111,10
Boreholes,6111300007,6,61,611,6111,10
Dip Tanks & Live Stock Management Facilities,6111300008,6,61,611,6111,10
Irrigation Schemes,6111300009,6,61,611,6111,10
Monuments,6111300010,6,61,611,6111,10
Buildings,6111300011,6,61,611,6111,10
Land Improvements,61114,6,61,611,6111,5
 Land Sites,6111400001,6,61,611,6111,10
Machinery and equipment,6112,6,61,611,6112,4
Transport equipment,61121,6,61,611,6112,5
Aircraft (Non-Military),6112100001,6,61,611,6112,10
Boats & Water Craft,6112100002,6,61,611,6112,10
Motor Cycles & Bicycles,6112100003,6,61,611,6112,10
Motor Vehicles,6112100004,6,61,611,6112,10
Tractors and Earthmoving Equipment,6112100005,6,61,611,6112,10
Other Machinery and Equipment,61122,6,61,611,6112,5
"Information, Computer & Telecommunication (ICT) Equipment",611221,6,61,611,6112,6
"Information, Computer & Telecommunication (ICT) Equipment",6112210001,6,61,611,6112,10
Machinery & Equipment not elsewhere classified,611222,6,61,611,6112,6
Generators,6112220001,6,61,611,6112,10
Survey Equipment,6112220003,6,61,611,6112,10
Funeral Equipment,6112220005,6,61,611,6112,10
Photographic/Media Equipment,6112220007,6,61,611,6112,10
Sports Equipment,6112220009,6,61,611,6112,10
Teaching and Training Equipment,6112220011,6,61,611,6112,10
Navigational and Telecommunications Equipment,6112220013,6,61,611,6112,10
Camping equipment,6112220015,6,61,611,6112,10
Kitchen and Culinary Equipment,6112220017,6,61,611,6112,10
Office Equipment,6112220019,6,61,611,6112,10
Furniture and Fittings,6112220021,6,61,611,6112,10
Laboratory Equipment,6112220023,6,61,611,6112,10
Hospital Equipment,6112220025,6,61,611,6112,10
Scales and Measures,6112220027,6,61,611,6112,10
Fire Fighting Equipment,6112220029,6,61,611,6112,10
Other fixed assets,6113,6,61,611,6113,4
Cultivated biological resources,61131,6,61,611,6113,5
Animal Resources Yielding Repeat Products,6113100001,6,61,611,6113,10
"Tree, Crop & Plant Resources Yielding Repeat Products",6113100002,6,61,611,6113,10
Intellectual property products,61132,6,61,611,6113,5
Research & Development,6113200001,6,61,611,6113,10
Mineral Exploration & Evaluation,6113200002,6,61,611,6113,10
computer software,6113200003,6,61,611,6113,10
Data bases,6113200004,6,61,611,6113,10
"Entertainment, Literary & Artistic Originals",6113200005,6,61,611,6113,10
Other Intellectual & Property Products,6113200006,6,61,611,6113,10
Costs of ownership transfer on Non-Produced Assets other than land (No stock position),61133,6,61,611,6113,5
Weapon systems,6114,6,61,611,6114,4
Weapons systems,6114000001,6,61,611,6114,10
Inventories : Stock position,612,6,61,612,612,3
Materials and supplies,61221,6,61,612,6122,5
Materials and supplies,6122100001,6,61,612,6122,10
Work in progress,61222,6,61,612,6122,5
Work in progress,6122200001,6,61,612,6122,10
Finished goods,61223,6,61,612,6122,5
Finished goods,6122300001,6,61,612,6122,10
goods for resale,61224,6,61,612,6122,5
goods for resale,6122400001,6,61,612,6122,10
military inventories,61225,6,61,612,6122,5
military inventories,6122500001,6,61,612,6122,10
Asset Under Construction (Dwellings),6123,6,61,612,6123,4
Subcontracting - Dwellings,6123000001,6,61,612,6123,10
Casual Labourers-Dwellings,6123000002,6,61,612,6123,10
Building Materials-Dwellings,6123000003,6,61,612,6123,10
Electrical Supplies-Dwellings,6123000004,6,61,612,6123,10
Plumbing Materials-Dwellings,6123000005,6,61,612,6123,10
Roofing Materials-Dwellings,6123000006,6,61,612,6123,10
Metal Fence & Posts,6123000007,6,61,612,6123,10
Road Surfacing Materials-Dwellings,6123000008,6,61,612,6123,10
Wood & Timber Supplies-Dwellings,6123000009,6,61,612,6123,10
Borehole Casings & Accessories-Dwellings,6123000010,6,61,612,6123,10
Protective clothing- Dwellings,6123000011,6,61,612,6123,10
Fuel-diesel and petrol-Dwellings,6123000012,6,61,612,6123,10
T and S allowances-Dwellings,6123000013,6,61,612,6123,10
Food and Refreshments Dwellings,6123000014,6,61,612,6123,10
Hire of Vehicles-Dwellings,6123000015,6,61,612,6123,10
Hire of Plant and Eqiupment-Dwellings,6123000016,6,61,612,6123,10
Vehicle and Mobile Equipment Maintanance-Dwellings,6123000017,6,61,612,6123,10
Tools and Small Implements-Dwellings,6123000018,6,61,612,6123,10
Consultancy Services-Dwellings,6123000019,6,61,612,6123,10
Public Relations and Communication-Dwellings,6123000020,6,61,612,6123,10
Office Supplies and Stationery -Dwellings,6123000021,6,61,612,6123,10
Asset Under Construction (Buildings other than dwellings),6124,6,61,612,6124,4
Subcontracting - Construction works,6124000001,6,61,612,6124,10
Casual Labourers-Buildings,6124000002,6,61,612,6124,10
Building Materials-Buildings,6124000003,6,61,612,6124,10
Electrical Supplies-Buildings,6124000004,6,61,612,6124,10
Plumbing Materials-Buildings,6124000005,6,61,612,6124,10
Roofing Materials-Buildings,6124000006,6,61,612,6124,10
Metal Fence & Posts-Buildings,6124000007,6,61,612,6124,10
Road Surfacing Materials-Buildings,6124000008,6,61,612,6124,10
Wood & Timber Supplies-Buildings,6124000009,6,61,612,6124,10
Borehole Casings & Accessories-Buildings,6124000010,6,61,612,6124,10
Protective clothing-buildings,6124000011,6,61,612,6124,10
Fuel-diesel and petrol-buildings,6124000012,6,61,612,6124,10
T and S allowances-biuldings,6124000013,6,61,612,6124,10
Food and Refreshmentsbuildings,6124000014,6,61,612,6124,10
Hire of Vehicles-buildings,6124000015,6,61,612,6124,10
Hire of Plant and Eqiupment-buildings,6124000016,6,61,612,6124,10
Vehicle and Mobile Equipment Maintanance-buildings,6124000017,6,61,612,6124,10
Tools and Small Implements-buildings,6124000018,6,61,612,6124,10
Consultancy Services-buildings,6124000019,6,61,612,6124,10
Public Relations and Communication-buildings,6124000020,6,61,612,6124,10
Office Supplies and Stationery -buildings,6124000021,6,61,612,6124,10
Asset Under Construction (Other Structures),6125,6,61,612,6125,4
Subcontracting - Construction works,6125000001,6,61,612,6125,10
Casual Labourers,6125000002,6,61,612,6125,10
Building Materials,6125000003,6,61,612,6125,10
Electrical Supplies,6125000004,6,61,612,6125,10
Plumbing Materials,6125000005,6,61,612,6125,10
Roofing Materials,6125000006,6,61,612,6125,10
Metal Fence & Posts,6125000007,6,61,612,6125,10
Road Surfacing Materials,6125000008,6,61,612,6125,10
Wood & Timber Supplies,6125000009,6,61,612,6125,10
Borehole Casings & Accessories,6125000010,6,61,612,6125,10
Protective clothing-other structures,6125000011,6,61,612,6125,10
